time,seconds_elapsed,z,y,x
1714065738853233700,0.160233642578125,-0.032833099365234375,0.0019974559545516968,0.01023632287979126
1714065738863112400,0.170112548828125,-0.051781654357910156,0.043589428067207336,0.02799665927886963
1714065738872992300,0.1799921875,-0.04391002655029297,0.08359396457672119,0.01464855670928955
1714065738882872800,0.189872802734375,-0.026594161987304688,0.07130151987075806,-0.005908787250518799
1714065738892752400,0.19975244140625,-0.00023174285888671875,0.03048555552959442,-0.0030018389225006104
1714065738902631400,0.20963134765625,0.04587268829345703,-0.011284589767456055,0.03036212921142578
1714065738912511000,0.219510986328125,0.04675483703613281,-0.04362364113330841,0.05032232403755188
1714065738922391600,0.2293916015625,0.010058403015136719,-0.0204465389251709,0.029252558946609497
1714065738932271000,0.23927099609375,-0.01966381072998047,0.0011928677558898926,-0.003781825304031372
1714065738942150100,0.249150146484375,-0.03414440155029297,0.017221719026565552,-0.007834911346435547
1714065738952029700,0.25902978515625,-0.025374412536621094,0.016602277755737305,-0.011680305004119873
1714065738961910300,0.26891015625,-0.010396957397460938,0.013582423329353333,0.00035890936851501465
1714065738971790000,0.2787900390625,-0.005320549011230469,0.01972620189189911,0.00507768988609314
1714065738981668900,0.2886689453125,-0.0005121231079101562,0.0460871160030365,-0.010894834995269775
1714065738991548700,0.298548583984375,0.008633613586425781,0.057742223143577576,0.0011125504970550537
1714065739001429000,0.308428955078125,0.01738739013671875,0.03037865459918976,0.01943245530128479
1714065739011308800,0.318308837890625,0.037242889404296875,-0.011762306094169617,0.03253111243247986
1714065739021187600,0.3281875,0.031093597412109375,-0.03404541313648224,0.029200494289398193
1714065739031067400,0.3380673828125,0.018346786499023438,-0.034926846623420715,0.019158929586410522
1714065739040948000,0.347947998046875,-0.016892433166503906,-0.024204537272453308,-0.01129952073097229
1714065739050827500,0.35782763671875,-0.03010272979736328,0.018360763788223267,-0.010676085948944092
1714065739060706600,0.36770654296875,-0.031337738037109375,0.034152477979660034,-0.007781028747558594
1714065739070586000,0.377586181640625,-0.02563953399658203,0.028639376163482666,0.0020550191402435303
1714065739080466700,0.387466796875,-0.0016527175903320312,0.034683093428611755,-0.00232011079788208
1714065739090346500,0.397346435546875,0.02851390838623047,0.028990373015403748,-0.002036839723587036
1714065739100225300,0.407225341796875,0.027619361877441406,0.028256505727767944,0.005190759897232056
1714065739110105000,0.41710498046875,0.0244598388671875,0.015964791178703308,0.032981812953948975
1714065739119985400,0.4269853515625,0.030710220336914062,-0.0144234299659729,0.04383671283721924
1714065739129865200,0.436865234375,0.01819896697998047,-0.03232741355895996,0.024302303791046143
1714065739139744000,0.446743896484375,0.0037240982055664062,-0.04522223770618439,0.00754094123840332
1714065739149623800,0.456623779296875,-0.024332046508789062,-0.015878722071647644,0.0028828680515289307
1714065739159504400,0.46650439453125,-0.021360397338867188,0.008023127913475037,-0.0017650425434112549
1714065739169384000,0.476384033203125,-0.027812957763671875,0.03610028326511383,-0.006177842617034912
1714065739179263000,0.486262939453125,-0.015459060668945312,0.03770957887172699,-0.0009103715419769287
1714065739189142500,0.496142578125,0.0806417465209961,-0.012777715921401978,-0.021107584238052368
1714065739199023000,0.506023193359375,0.08334159851074219,-0.03752848505973816,-0.015475332736968994
1714065739208903000,0.51590283203125,0.22629451751708984,0.08641456067562103,-0.01921403408050537
1714065739218781700,0.52578173828125,-0.02925872802734375,0.031673237681388855,-0.014440953731536865
1714065739228661500,0.53566162109375,0.025130271911621094,-0.21158011257648468,-0.12816821038722992
1714065739238541800,0.545541748046875,0.24929046630859375,-0.19938762485980988,-0.35732895135879517
1714065739248421600,0.555421630859375,0.17610740661621094,-0.18288812041282654,-0.23270177841186523
1714065739258300700,0.56530078125,0.5619106292724609,0.1030418872833252,0.49967750906944275
1714065739268180200,0.57518017578125,0.588505744934082,-0.047718971967697144,0.2716841995716095
1714065739278060800,0.585060791015625,0.7743864059448242,-0.3727308511734009,0.02451235055923462
